"filename", "language", "JSON with Comments", "YAML", "Ignore", "JavaScript", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "JavaScript JSX", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"f:\学习\大三下\项目实训\sapphire-client\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\学习\大三下\项目实训\sapphire-client\src\pages\common\404.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\ConsoleBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\NewsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 12, 4, 70
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\NotificationPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\OngoingTaskPanal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 20, 5, 129
"f:\学习\大三下\项目实训\sapphire-client\src\pages\consoleboard\SkillPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\CreateDataset.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 41, 5, 187
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\DatasetDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 362, 13, 625
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\PreviewTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 27, 5, 74
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\ProgressTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 3, 5, 85
"f:\学习\大三下\项目实训\sapphire-client\src\pages\datasets\Datasets.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 6, 100
"f:\学习\大三下\项目实训\sapphire-client\src\pages\login\Introduction\Introduction.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"f:\学习\大三下\项目实训\sapphire-client\src\pages\login\Introduction\Introduction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 692, 0, 0, 0, 0, 3, 8, 703
"f:\学习\大三下\项目实训\sapphire-client\src\pages\login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 119, 13, 362
"f:\学习\大三下\项目实训\sapphire-client\src\pages\login\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 10, 29, 243
"f:\学习\大三下\项目实训\sapphire-client\src\pages\profile\HistoryInfoPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 52
"f:\学习\大三下\项目实训\sapphire-client\src\pages\profile\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 2, 57
"f:\学习\大三下\项目实训\sapphire-client\src\pages\profile\StatusPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 3, 39
"f:\学习\大三下\项目实训\sapphire-client\src\pages\setting\Setting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"f:\学习\大三下\项目实训\sapphire-client\src\pages\workdesk\WorkDesk.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 488, 0, 0, 0, 0, 0, 9, 16, 513
"f:\学习\大三下\项目实训\sapphire-client\src\pages\workdesk\WorkTools.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 32, 29, 414
